,current position1-firm name,current position1-firm type,current position1-title,current position1-location,current position1-industry,current position1-since,current position1-companylink,current position2-firm name,current position2-firm type,current position2-title,current position2-location,current position2-industry,current position2-since,current position2-companylink,current position3-firm name,current position3-firm type,current position3-title,current position3-location,current position3-industry,current position3-since,current position3-companylink,current position4-firm name,current position4-firm type,current position4-title,current position4-location,current position4-industry,current position4-since,current position4-companylink,current position5-firm name,current position5-firm type,current position5-title,current position5-location,current position5-industry,current position5-since,current position5-companylink,current position6-firm name,current position6-firm type,current position6-title,current position6-location,current position6-industry,current position6-since,current position6-companylink,current position7-firm name,current position7-firm type,current position7-title,current position7-location,current position7-industry,current position7-since,current position7-companylink,current position8-firm name,current position8-firm type,current position8-title,current position8-location,current position8-industry,current position8-since,current position8-companylink,current position9-firm name,current position9-firm type,current position9-title,current position9-location,current position9-industry,current position9-since,current position9-companylink,current position10-firm name,current position10-firm type,current position10-title,current position10-location,current position10-industry,current position10-since,current position10-companylink
19,Kettle & Fire,COMPANY,"Chief Executive Officer, Co-Founder & Board Member","Austin, TX",Food Products,2014-10-27,https://my.pitchbook.com/profile/180640-99/company/profile,Perfect Keto,COMPANY,Co-Founder & Co-Chief Executive Officer,"Austin, TX",Food Products,2016-01-01,https://my.pitchbook.com/profile/265949-38/company/profile,Surely (Wine Producer),COMPANY,"Co-Founder, President & Board Member","Austin, TX",Beverages,2018-01-01,https://my.pitchbook.com/profile/465781-69/company/profile,Traction Tribe,INVESTOR,Mentor,"Budapest, Hungary",,,https://my.pitchbook.com/profile/92996-83/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cursive Labs,COMPANY,Co-Founder & Head of Technology,"San Diego, CA",Consulting Services (B2B),2014-01-01,https://my.pitchbook.com/profile/101216-62/company/profile,Spoutable,COMPANY,Chief Technology Officer,"San Diego, CA",Media and Information Services (B2B),,https://my.pitchbook.com/profile/102485-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cursive Labs,COMPANY,Co-Founder,"San Diego, CA",Consulting Services (B2B),2014-01-01,https://my.pitchbook.com/profile/101216-62/company/profile,Spoutable,COMPANY,Co-Founder,"San Diego, CA",Media and Information Services (B2B),2014-08-01,https://my.pitchbook.com/profile/102485-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ShopRunner,COMPANY,Chief Financial Officer & Chief Operating Officer,"Chicago, IL",Media and Information Services (B2B),2017-01-01,https://my.pitchbook.com/profile/58676-23/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Cursive Labs,COMPANY,Co-Founder,"San Diego, CA",Consulting Services (B2B),2014-01-01,https://my.pitchbook.com/profile/101216-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Regroup Mass Notification,COMPANY,Co-Founder & Chief Operating Officer,TX,Media and Information Services (B2B),2006-04-01,https://my.pitchbook.com/profile/55259-02/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FanCompass,COMPANY,"Co-Founder, Co-Chief Executive Officer & Board Member","San Francisco, CA",Media and Information Services (B2B),2009-01-01,https://my.pitchbook.com/profile/63762-94/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Health Gorilla,COMPANY,"Co-Founder, Chief Strategy Officer & Board Member","Sunnyvale, CA",Medical Records Systems,,https://my.pitchbook.com/profile/66174-94/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SeatGeek,COMPANY,President,"New York, NY",Information Services (B2C),2019-02-01,https://my.pitchbook.com/profile/46779-22/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
