,former position1-firm name,former position1-firm type,former position1-title,former position1-location,former position1-industry,former position1-since,former position1-companylink,former position2-firm name,former position2-firm type,former position2-title,former position2-location,former position2-industry,former position2-since,former position2-companylink,former position3-firm name,former position3-firm type,former position3-title,former position3-location,former position3-industry,former position3-since,former position3-companylink,former position4-firm name,former position4-firm type,former position4-title,former position4-location,former position4-industry,former position4-since,former position4-companylink,former position5-firm name,former position5-firm type,former position5-title,former position5-location,former position5-industry,former position5-since,former position5-companylink,former position6-firm name,former position6-firm type,former position6-title,former position6-location,former position6-industry,former position6-since,former position6-companylink,former position7-firm name,former position7-firm type,former position7-title,former position7-location,former position7-industry,former position7-since,former position7-companylink,former position8-firm name,former position8-firm type,former position8-title,former position8-location,former position8-industry,former position8-since,former position8-companylink,former position9-firm name,former position9-firm type,former position9-title,former position9-location,former position9-industry,former position9-since,former position9-companylink,former position10-firm name,former position10-firm type,former position10-title,former position10-location,former position10-industry,former position10-since,former position10-companylink
19,CloudFab,COMPANY,Co-Founder,"Pittsburgh, PA",Other Commercial Services,2011-01-01,https://my.pitchbook.com/profile/85761-55/company/profile,Fomo,COMPANY,Co-Founder,"Wilmington, DE",Business/Productivity Software,2016-01-01,https://my.pitchbook.com/profile/180598-51/company/profile,RoommateFit,COMPANY,Co-Founder,"Schwenksville, PA",Communication Software,2010-09-01,https://my.pitchbook.com/profile/87897-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Chogger,COMPANY,Co-Founder,"Pittsburgh, PA",Entertainment Software,2008-06-01,https://my.pitchbook.com/profile/83103-31/company/profile,Plethora,COMPANY,Co-Founder & Chief Technology Officer,"San Francisco, CA",Industrial Supplies and Parts,2013-06-01,https://my.pitchbook.com/profile/105476-77/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ponder,COMPANY,Co-Founder & Board Member,"Los Angeles, CA",Other Software,2013-05-01,https://my.pitchbook.com/profile/161275-24/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kapow Events,COMPANY,Chief Financial Officer,"Chicago, IL",Media and Information Services (B2B),2015-05-01,https://my.pitchbook.com/profile/54690-85/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Allegiance Capital,SP,"Vice President, Sales","Dallas, TX",,2014-02-01,https://my.pitchbook.com/profile/28353-16/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cleveland Biolabs,COMPANY,President & Chief Medical Officer,"Buffalo, NY",Biotechnology,2014-02-01,https://my.pitchbook.com/profile/41591-98/company/profile,Oncternal Therapeutics,COMPANY,Chief Medical Officer,"San Diego, CA",Biotechnology,,https://my.pitchbook.com/profile/160566-58/company/profile,VelosBio,COMPANY,Executive Vice President & Chief Medical Officer,"San Diego, CA",Drug Discovery,,https://my.pitchbook.com/profile/228189-16/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Roam Analytics,COMPANY,Co-Founder & Chief Scientist,"San Mateo, CA",Other Healthcare Technology Systems,2013-06-01,https://my.pitchbook.com/profile/60878-71/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cambridge Semantics,COMPANY,Co-Founder & Vice President of Marketing and Technology,"Boston, MA",Business/Productivity Software,2007-01-01,https://my.pitchbook.com/profile/108445-96/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Marval Biosciences,COMPANY,Founder,"Houston, TX",Diagnostic Equipment,2004-01-01,https://my.pitchbook.com/profile/42226-75/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Alliance Health,COMPANY,Chief Operating Officer,"South Jordan, UT",Practice Management (Healthcare),2014-11-01,https://my.pitchbook.com/profile/52240-24/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,247Sports,COMPANY,"Co-Founder and Publisher, AppNation247.com","Brentwood, TN",Information Services (B2C),2013-02-01,https://my.pitchbook.com/profile/82088-20/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
